SUBSTATION_VOLTAGE,SYS_NAME,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,PERCENT_15_CAP,NOTE,CIRCUIT_ID,CIRCUIT_NAME,CIRCUIT_VOLTAGE,SUB_NAME,OBJECTID,Shape__Length
33/12 kV,Victor 220/115 System,0.748,0.009,0.756,9.58,8.45,9.19,0.63,Interconnection studies in this area have identified adequate deliverability.,2173657,Lakota,12,Rancho,2153,56208.6384913948
66/12 kV,Del Amo 220/66 System,0.317,0.142,0.46,9.26,6.09,9.44,0.83,Interconnection studies in this area have identified adequate deliverability.,2181643,Jepson,12,Lucas,2154,73401.4792827831
66/16 kV,Mesa 220/66 System,0.686,0.029,0.715,7.61,10.24,12.42,0.36,Interconnection studies in this area have identified adequate deliverability.,2164251,Lamanda,16,Eaton,2155,57211.0666476547
66/16 kV,Moorpark 220/66 System,1.425,0,1.425,12.78,11.95,11.67,0.39,Interconnection studies in this area have identified adequate deliverability.,2182116,La Mancha,16,Potrero,2156,72742.487697624
115/12 kV,Vista 220/115 System,0.894,0.016,0.91,10,9.35,9.06,0.56,Interconnection studies in this area have identified adequate deliverability.,2182117,Lancers,12,Pepper,2157,47641.0425607214
33/25 kV,Devers 220/115 System,0.269,3.006,3.275,2.2,150,2.61,0,Deliverability in this area has not been determined by previous interconnection studies.,2164252,Sunfair,25,Hi Desert,2158,101554.015346347
115/12 kV,Devers 220/115 System,1.543,0,1.543,8.24,19.7,8.38,0,Deliverability in this area has not been determined by previous interconnection studies.,2182118,Landau,12,Farrell,2159,30119.4070454423
66/16 kV,Lighthipe 220/66 System,0.382,0,0.382,6.61,5.28,12.85,0.64,Interconnection studies in this area have identified adequate deliverability.,2181377,Kenwood,16,Bullis,2160,46811.3753664528
115/12 kV,Victor 220/115 System,2.665,15.139,17.804,8.92,216.28,0,0,Interconnection studies in this area have identified adequate deliverability.,2163155,Kenworth,12,Roadway,2161,303499.670736184
66/12 kV,Etiwanda 220/66 System,0.986,0,0.986,8.4,11.78,9.01,0.27,Interconnection studies in this area have identified adequate deliverability.,2169657,Kenyon,12,Archline,2162,52058.5122849995
66/12 kV,Walnut 220/66 System,0.654,0.005,0.658,8.45,8.05,9.32,0.59,Interconnection studies in this area have identified adequate deliverability.,2166484,Kermit,12,Nogales,2163,36335.851054628
115/12 kV,Victor 220/115 System,1.075,0,1.075,9.13,12.34,8.87,0.24,Interconnection studies in this area have identified adequate deliverability.,2163156,Kern,12,Hesperia,2164,82092.0363507171
66/4.16 kV,Alamitos 220/66 System,0.341,0,0.341,2.3,15.82,1.94,0,Interconnection studies in this area have identified adequate deliverability.,2177310,Metz,4,Clark,2165,15916.377381762
66/12 kV,Padua 220/66 System,0.801,0.005,0.806,10,9.49,9.05,0.55,Interconnection studies in this area have identified adequate deliverability.,2185640,Metro,12,Upland,2166,48840.9429332166
66/12 kV,Barre 220/66 System,0.723,0,0.723,8.88,8.47,9.25,0.58,Interconnection studies in this area have identified adequate deliverability.,2177311,Mexico,12,Ely,2167,21758.8766917478
66/16 kV,La Cienega 220/66 System,0.244,0,0.244,10.2,0.45,13.15,1.48,Interconnection studies in this area have identified adequate deliverability.,2180612,M.G.M.,16,Culver,2168,29097.7569291751
12/4.16 kV,Center 220/66 System,0.075,0.003,0.077,2.06,3.97,2.22,0.23,Interconnection studies in this area have identified adequate deliverability.,2179244,Pangborn,4,Downey,2169,19203.9634994217
33/4.16 kV,Kramer 220/115 System,0.024,0,0.024,0.29,8.32,2.28,0.02,Interconnection studies in this area have identified inadequate deliverability.,2179838,Mc Caslin,4,Amargo,2170,12085.3937930266
33/4.16 kV,Victor 220/115 System,0.04,0,0.04,0.82,4.83,2.26,0.08,Interconnection studies in this area have identified adequate deliverability.,2179929,Mc Clary,4,Mc Clary P.T.,2171,50633.8504148603
66/16 kV,Lighthipe 220/66 System,0.273,0.074,0.347,6.78,4.55,12.89,0.71,Interconnection studies in this area have identified adequate deliverability.,2185232,Mccloud,16,Jersey,2172,64602.6244373362
66/12 kV,Vestal 220/66 System,0.044,0.112,0.156,3.82,4.2,9.84,0.41,Interconnection studies in this area have identified inadequate deliverability.,2185484,Mcclure,12,Browning,2173,87871.5401019577
66/4.16 kV,Ellis 'C' 220/66 System,0.132,0,0.132,1.43,9.22,2.17,0.08,Interconnection studies in this area have identified adequate deliverability.,2177312,Miami,4,Sullivan,2174,22923.652910435
66/16 kV,La Fresa 220/66 System,0.424,0.008,0.432,5.34,8.18,12.76,0.36,Interconnection studies in this area have identified adequate deliverability.,2180613,Mica,16,Crest,2175,23086.1782249139
66/12 kV,Mira Loma 220/66 System,0.096,5,5.096,9.42,54.08,4.9,0,Interconnection studies in this area have identified adequate deliverability.,2177313,Michael,12,Corona,2176,54872.2824886198
66/12 kV,Walnut 220/66 System,0.595,0.022,0.617,5.96,10.52,9.37,0.27,Interconnection studies in this area have identified adequate deliverability.,2185642,Michelle,12,Cortez,2177,28090.4467702587
12/4.16 kV,Lighthipe 220/66 System,0.256,0,0.256,2.2,11.66,2.04,0.07,Interconnection studies in this area have identified adequate deliverability.,2180614,Michigan,4,Signal Hill,2178,8960.5954507835
66/12 kV,Johanna 220/66 System,2.65,0,2.65,6.53,0,10,0.98,Interconnection studies in this area have identified adequate deliverability.,2185485,Mc Cormick,12,Cabrillo,2179,24978.6167260329
33/12 kV,Blythe (Walc) 161/33 System,20,0,20,5.14,388.8,7,0,Interconnection studies in this area have identified inadequate deliverability.,2185486,Mc Coy,33,Blythe City,2180,181110.711350747
33/4.16 kV,Devers 220/115 System,0.537,0.017,0.554,2.3,24.56,1.74,0,Deliverability in this area has not been determined by previous interconnection studies.,2176975,Mccallum,4,Belding,2181,13056.5339101968
66/16 kV,El Nido 220/66 System,2.356,0,2.356,7.24,18.73,11.84,0,Interconnection studies in this area have identified adequate deliverability.,2176976,Mcdonnell,16,Lennox,2182,56796.0794457721
66/16 kV,La Cienega 220/66 System,0.075,0,0.075,6.36,1.17,13.13,0.88,Interconnection studies in this area have identified adequate deliverability.,2176977,Mcewan,16,Marine,2183,13794.292246335
33/4.16 kV,Big Creek 220/220 System,0,0,0,0.15,0,2.3,0.02,Interconnection studies in this area have identified inadequate deliverability.,2180615,Micro,4,Line Creek,2184,10868.5608645267
66/12 kV,Ellis 'A' 220/66 System,0.117,0.018,0.135,9.02,1.6,9.86,1.21,Interconnection studies in this area have identified adequate deliverability.,2177314,Middlecoff,12,Lafayette,2185,55201.7600511365
66/16 kV,Santa Clara 220/66 System,1.975,2.85,4.825,3.52,34.96,11.97,0,Interconnection studies in this area have identified adequate deliverability.,2180616,Middle Road,16,Saticoy,2186,122480.595283352
66/12 kV,Vestal 220/66 System,0.002,1.34,1.342,5.26,19,9,0,Interconnection studies in this area have identified inadequate deliverability.,2172600,Midge,12,Quinn,2187,154590.973995483
66/12 kV,Etiwanda 220/66 System,2.5,0,2.5,10,20.24,7.98,0,Interconnection studies in this area have identified adequate deliverability.,2179930,Mcenroe,12,Wimbledon,2188,71753.0248694931
66/12 kV,Vestal 220/66 System,1.011,0,1.011,6.17,16.44,8.99,0,Interconnection studies in this area have identified inadequate deliverability.,2176978,Mcfarland,12,Browning,2189,42706.0228218038
115/12 kV,Inyo Sce 220/115 System,0.256,0,0.256,1.48,17.75,9.74,0,Interconnection studies in this area have identified inadequate deliverability.,2172267,Mcgee,12,Sherwin,2190,61353.1072268051
66/12 kV,Ellis 'C' 220/66 System,0.552,0.01,0.562,10,5.95,9.41,0.91,Interconnection studies in this area have identified adequate deliverability.,2185488,Mckeever,12,Brookhurst,2191,46356.7885926342
16/4.16 kV,Santa Clara 220/66 System,0.019,0,0.019,0.59,3.19,2.28,0.07,Interconnection studies in this area have identified adequate deliverability.,2172268,Mckevett,4,Mckevett P.T.,2192,8861.04247655544
16/4.16 kV,Lighthipe 220/66 System,0.101,0.003,0.104,2.3,4.74,2.19,0.24,Interconnection studies in this area have identified adequate deliverability.,2172459,Mckinley,4,Fremont,2193,28705.7411555153
66/12 kV,Mira Loma 220/66 System,0.009,0,0.009,6.4,0.15,9.99,0.95,Interconnection studies in this area have identified adequate deliverability.,2185643,Midori,12,Milliken,2194,60784.2919882389
12/4.16 kV,Barre 220/66 System,0.067,0,0.067,1.1,6.63,2.23,0.09,Interconnection studies in this area have identified adequate deliverability.,2185644,Midway,4,Cedarwood,2195,5687.57644085938
66/4.16 kV,Mesa 220/66 System,0.041,0.004,0.045,2.3,1.94,2.26,0.3,Interconnection studies in this area have identified adequate deliverability.,2172601,Midwick,4,Ramona,2196,23367.4598822516
115/12 kV,Valley 'D' 500/115 System,2.299,0.024,2.323,8.21,29.54,7.58,0,Deliverability in this area has not been determined by previous interconnection studies.,2179931,Mclaughlin,12,Newcomb,2197,41539.0587842695
115/12 kV,Devers 220/115 System,2.072,0,2.072,9.75,23.23,7.74,0,Deliverability in this area has not been determined by previous interconnection studies.,2172460,Mcmanus,12,Thornhill,2198,53389.1440176785
66/4.16 kV,Del Amo 220/66 System,0.174,0,0.174,2.3,7.74,2.12,0.17,Interconnection studies in this area have identified adequate deliverability.,2172461,Mcnab,4,Lucas,2199,8662.7084973794
66/12 kV,Rector 220/66 System,1.949,1.605,3.554,7.49,48.37,6.37,0,Interconnection studies in this area have identified inadequate deliverability.,2185645,Mid Valle,12,Liberty,2200,140211.867243886
66/12 kV,Lighthipe 220/66 System,0.027,0,0.027,1.6,1.91,9.97,0.21,Interconnection studies in this area have identified adequate deliverability.,2172602,Miguel,12,Alon,2201,15841.6005428488
66/12 kV,Barre 220/66 System,1.348,0.005,1.353,7.71,5.48,9.58,0.73,Interconnection studies in this area have identified adequate deliverability.,2185646,Mildred,12,Marion,2202,14277.890976908
66/12 kV,Chino 220/66 System,0.089,0,0.089,9.16,0.97,9.91,1.29,Interconnection studies in this area have identified adequate deliverability.,2172603,Miler,12,Trophy,2203,47159.4167119545
33/12 kV,Victor 220/115 System,0.012,0,0.012,1.28,0.93,9.99,0.18,Interconnection studies in this area have identified adequate deliverability.,2179932,Meadowlark,12,Wrightwood,2204,9861.01354019649
66/12 kV,San Bernardino 220/66 System,0.143,0.205,0.348,7.22,4.9,9.65,0.73,Interconnection studies in this area have identified adequate deliverability.,2177150,Meadowbrook,12,Cardiff,2205,61211.1213947403
66/16 kV,La Cienega 220/66 System,0.306,0,0.306,10.04,1.89,13.01,1.32,Interconnection studies in this area have identified adequate deliverability.,2177151,Meander,16,Beverly,2206,40097.1036452378
16/4.16 kV,Laguna Bell De 220/66 System,0.066,0,0.066,1.9,3.6,2.23,0.22,Interconnection studies in this area have identified adequate deliverability.,2172604,Miles,4,Huntington Park,2207,17118.4687588249
66/12 kV,Rector 220/66 System,1.636,5.812,7.448,9.26,71.34,3.4,0,Interconnection studies in this area have identified inadequate deliverability.,2185647,Milk,12,Tulare,2208,128771.278615005
66/12 kV,Center 220/66 System,0.23,0.993,1.223,8.36,12.49,8.96,0.21,Interconnection studies in this area have identified adequate deliverability.,2185648,Mill,12,Santa Fe Springs,2209,34743.2232240874
66/12 kV,Walnut 220/66 System,1.756,0.041,1.797,7.56,24.31,8.16,0,Interconnection studies in this area have identified adequate deliverability.,2177315,Millennium,12,Nogales,2210,74866.9251189726
2.4/12 kV,Windhub 220/66 System,0.007,0,0.007,0.09,14.21,9.99,0,Interconnection studies in this area have identified adequate deliverability.,2179934,Mebane,12,Mebane P.T.,2211,22389.4060991513
66/12 kV,Padua 220/66 System,3.026,0,3.026,10,3.43,9.66,1.16,Interconnection studies in this area have identified adequate deliverability.,2177152,Meagan,12,Upland,2212,65705.8902707138
66/12 kV,Padua 220/66 System,0.999,0,0.999,9.73,10.26,9,0.46,Interconnection studies in this area have identified adequate deliverability.,2185570,Mears,12,Cucamonga,2213,65706.3778840466
33/12 kV,Devers 220/115 System,0.048,0,0.048,0.64,8.01,9.95,0.04,Deliverability in this area has not been determined by previous interconnection studies.,2186303,Mockingbird,12,Mockingbird P.T.,2214,12901.8134531312
66/12 kV,Mira Loma 220/66 System,0.807,0,0.807,8.72,9.55,9.17,0.47,Interconnection studies in this area have identified adequate deliverability.,2172778,Modelo,12,Jefferson,2215,40155.0035017725
66/12 kV,Viejo 220/66 System,1.255,0.029,1.284,7.79,17.56,8.63,0,Interconnection studies in this area have identified adequate deliverability.,2172939,Modjeska,12,O'Neill,2216,45588.0284346155
66/12 kV,Rector 220/66 System,0.042,0,0.042,0.69,6.06,9.96,0.06,Interconnection studies in this area have identified inadequate deliverability.,2172940,Moffitt,12,Lemon Cove,2217,46191.3748247695
66/12 kV,Chino 220/66 System,1.163,0,1.163,10,12.13,8.79,0.29,Interconnection studies in this area have identified adequate deliverability.,2177153,Medal,12,Trophy,2218,83996.3370247215
66/12 kV,Antelope 220/66 System,1.664,0.015,1.68,8.12,21.52,8.25,0,Interconnection studies in this area have identified adequate deliverability.,2179936,Medallion,12,Lancaster,2219,44870.9725609372
16/4.16 kV,Mesa 220/66 System,0.054,0,0.054,2.3,2.57,2.24,0.29,Interconnection studies in this area have identified adequate deliverability.,2179937,Medford,4,Terrace,2220,22752.8990251482
16/4.16 kV,Rio Hondo 220/66 System,0.15,0.01,0.16,2.15,7.63,2.14,0.16,Interconnection studies in this area have identified adequate deliverability.,2186304,Mohawk,4,Sierra Madre,2221,20544.2594374586
115/12 kV,Mirage 220/115 System,2.537,0.044,2.58,10,26.76,7.32,0,Interconnection studies in this area have identified inadequate deliverability.,2172941,Mohican,12,Indian Wells,2222,69402.9689516127
115/12 kV,Valley 'D' 500/115 System,2.161,0.028,2.189,9.24,24.87,7.7,0,Deliverability in this area has not been determined by previous interconnection studies.,2186305,Lobo,12,Pechanga,2223,57466.6417370258
66/4.16 kV,La Cienega 220/66 System,0.165,0,0.165,2.23,7.4,2.14,0.17,Interconnection studies in this area have identified adequate deliverability.,2179938,Medical,4,Colorado,2224,22243.2378617414
12/4.16 kV,Alamitos 220/66 System,0.037,0,0.037,1.52,2.43,2.26,0.19,Interconnection studies in this area have identified adequate deliverability.,2180019,Medio,4,Bixby,2225,9295.67586124297
66/12 kV,Hinson 220/66 System,0,6.6,6.6,0.13,0,10,0.02,Interconnection studies in this area have identified adequate deliverability.,2186306,Mole,12,Pico,2226,7412.33961372009
66/12 kV,Alamitos 220/66 System,0.02,0,0.02,7.31,1.11,9.92,1.01,Interconnection studies in this area have identified adequate deliverability.,2172942,Molino,12,Hathaway,2227,35794.4136871864
16/4.16 kV,Lighthipe 220/66 System,0.086,0,0.086,1.82,4.97,2.21,0.18,Interconnection studies in this area have identified adequate deliverability.,2186307,Mona,4,Athens,2228,17924.6310625992
66/12 kV,Springville 220/66 System,0.625,0,0.625,4.48,14.19,9.37,0.04,Interconnection studies in this area have identified inadequate deliverability.,2186308,Monache,12,Porterville,2229,48579.0728422116
16/4.16 kV,Mesa 220/66 System,0.007,0,0.007,0.59,2.45,2.29,0.07,Interconnection studies in this area have identified adequate deliverability.,2180020,Mednick,4,Bicknell,2230,6476.37459386936
66/12 kV,San Bernardino 220/66 System,1.356,0,1.356,9.59,3.71,9.64,1.08,Interconnection studies in this area have identified adequate deliverability.,2180021,Medusa,12,San Bernardino,2231,78023.9125690588
66/12 kV,Viejo 220/66 System,1.022,0.015,1.038,7.85,13.48,8.94,0.12,Interconnection studies in this area have identified adequate deliverability.,2177154,Melinda,12,O'Neill,2232,48553.1395387286
66/12 kV,Villa Park 220/66 System,0.343,0.013,0.356,7.23,5.18,9.63,0.71,Interconnection studies in this area have identified adequate deliverability.,2180022,Melissa,12,La Veta,2233,30565.3797313317
66/4.16 kV,La Fresa 220/66 System,0.057,0,0.057,1.92,3.1,2.24,0.23,Interconnection studies in this area have identified adequate deliverability.,2172605,Miller,4,Walteria,2234,11847.0321364793
66/12 kV,Center 220/66 System,0.327,0.489,0.816,9.28,8.86,9.18,0.57,Interconnection studies in this area have identified adequate deliverability.,2185719,Millergrove,12,Passons,2235,50590.573646008
66/12 kV,Lighthipe 220/66 System,0.609,0,0.609,3.12,7.23,9.77,0.24,Interconnection studies in this area have identified adequate deliverability.,2172606,Millpoint,12,Alon,2236,38573.7745376304
66/16 kV,Moorpark 220/66 System,0.754,0,0.754,12.51,6.52,12.38,1.06,Interconnection studies in this area have identified adequate deliverability.,2185720,Milo,16,Valdez,2237,64671.3486539133
33/12 kV,Blythe (Walc) 161/33 System,1.153,0.011,1.165,8.27,14.61,8.79,0.03,Interconnection studies in this area have identified inadequate deliverability.,2185571,Melon,12,Blythe City,2238,82381.0517602829
33/25 kV,Devers 220/115 System,2.558,0.018,2.576,3.71,69.78,3.31,0,Deliverability in this area has not been determined by previous interconnection studies.,2172462,Melody,25,Hi Desert,2239,61147.2943705497
33/12 kV,Valley 'Ab' 500/115 System,0.332,0,0.332,6.57,5.14,9.66,0.65,Deliverability in this area has not been determined by previous interconnection studies.,2180023,Melvere,12,Hemet,2240,30796.2104853033
66/12 kV,Olinda 220/66 System,0.665,0.165,0.83,7.83,10.66,9.17,0.34,Interconnection studies in this area have identified adequate deliverability.,2177155,Memory,12,La Habra,2241,32871.5093527534
66/16 kV,Goleta 220/66 System,0.315,0.153,0.468,10.47,14.16,11.72,0.09,Interconnection studies in this area have identified adequate deliverability.,2185721,Milpas,16,Santa Barbara,2242,76151.9819572182
115/12 kV,Mirage 220/115 System,1.968,0.023,1.992,9.18,22.44,7.94,0,Interconnection studies in this area have identified inadequate deliverability.,2172607,Mimosa,12,Tamarisk,2243,84752.1277463771
66/12 kV,Rector 220/66 System,0.729,0.011,0.74,7.12,10.86,9.23,0.29,Interconnection studies in this area have identified inadequate deliverability.,2172608,Mineral,12,Visalia,2244,54690.9046216343
115/12 kV,Victor 220/115 System,6.983,0,6.983,9.99,60.75,3.93,0,Interconnection studies in this area have identified adequate deliverability.,2172769,Mingo,12,Savage,2245,49830.96148931
66/4.16 kV,La Fresa 220/66 System,0.051,0,0.051,0.74,7.5,2.24,0.06,Interconnection studies in this area have identified adequate deliverability.,2180024,Menlo,4,Yukon,2246,12847.679221644
66/16 kV,Saugus 220/66 System,1.719,0.034,1.753,10.79,16.77,11.39,0,Interconnection studies in this area have identified adequate deliverability.,2172463,Mentry,16,Newhall,2247,47190.2095719316
66/12 kV,Olinda 220/66 System,0.545,0,0.545,8.95,6.56,9.41,0.76,Interconnection studies in this area have identified adequate deliverability.,2177156,Mercado,12,Telegraph,2248,48192.7348881364
66/4.16 kV,El Nido 220/66 System,0,0,0,0.46,0,2.3,0.07,Interconnection studies in this area have identified adequate deliverability.,2185572,Mercantile,4,Inglewood,2249,7794.60157601789
66/16 kV,El Nido 220/66 System,0.007,0,0.007,8.52,0.13,13.19,1.27,Interconnection studies in this area have identified adequate deliverability.,2172770,Minnow,16,El Nido,2250,26072.4506846047
66/12 kV,Olinda 220/66 System,1.228,0.21,1.438,9.95,2.29,9.77,1.26,Interconnection studies in this area have identified adequate deliverability.,2185723,Minnesota,12,Carolina,2251,20358.0712445106
66/12 kV,Santiago 220/66 System,0.906,0.012,0.918,7.15,2.1,9.85,0.92,Interconnection studies in this area have identified adequate deliverability.,2185724,Minosa,12,Crown,2252,33131.7980537789
115/12 kV,Valley 'Ab' 500/115 System,0.997,0.034,1.031,9.61,11.35,8.91,0.35,Deliverability in this area has not been determined by previous interconnection studies.,2172771,Minor,12,Nelson,2253,60421.3317086172
66/12 kV,San Bernardino 220/66 System,5.857,0,5.857,8.99,65.17,4.14,0,Interconnection studies in this area have identified adequate deliverability.,2186227,Minotaur,12,San Bernardino,2254,79623.3326040192
66/12 kV,Ellis 'C' 220/66 System,1.551,0.705,2.255,10,23.14,7.69,0,Interconnection studies in this area have identified adequate deliverability.,2172464,Mercedes,12,Vera,2255,52911.9230595632
66/16 kV,Mesa 220/66 System,0.319,0.459,0.778,12.2,5.44,12.54,1.17,Interconnection studies in this area have identified adequate deliverability.,2185573,Mercer,16,Newmark,2256,50620.7799908905
115/33 kV,Vista 220/115 System,4.493,0,4.493,11.37,39.51,22.51,0,Interconnection studies in this area have identified adequate deliverability.,2172465,Meredith,33,Calectric,2257,68246.0381790644
66/16 kV,Rio Hondo 220/66 System,1.135,0.534,1.669,10.83,11.08,12,0.42,Interconnection studies in this area have identified adequate deliverability.,2185574,Meridian,16,Anita,2258,57292.440600605
66/16 kV,Moorpark 220/66 System,0.311,0.01,0.321,5.79,5.87,12.86,0.53,Interconnection studies in this area have identified adequate deliverability.,2177157,Merlin,16,Latigo,2259,81134.0222700757
66/16 kV,Saugus 220/66 System,0.708,0.285,0.993,10.83,8.67,12.26,0.69,Interconnection studies in this area have identified adequate deliverability.,2180617,Mint Canyon,16,Saugus,2260,74411.0850344458
66/12 kV,Rector 220/66 System,1.481,0.01,1.491,10,19.26,8.07,0,Interconnection studies in this area have identified inadequate deliverability.,2172773,Minuteman,12,Liberty,2261,69419.7023379331
66/12 kV,Del Amo 220/66 System,0.03,0,0.03,5.95,0.5,9.97,0.86,Interconnection studies in this area have identified adequate deliverability.,2180618,Mira,12,Carmenita,2262,19856.7610575962
33/4.8 kV,Kramer 220/115 System,0.012,0,0.012,0.6,1.96,2.69,0.08,Interconnection studies in this area have identified inadequate deliverability.,2177316,Miracle City,4.8,Ridgecrest,2263,13897.7235725985
115/12 kV,Valley 'D' 500/115 System,1.347,0.033,1.38,7.98,21.55,8.28,0,Deliverability in this area has not been determined by previous interconnection studies.,2180025,Merlot,12,Pauba,2264,51104.1968479899
66/12 kV,Vestal 220/66 System,0.983,0.122,1.105,3.02,117.22,6.46,0,Interconnection studies in this area have identified inadequate deliverability.,2185575,Merrit,12,Poplar,2265,204542.038498246
66/12 kV,Rector 220/66 System,0.64,0,0.64,9.07,7.2,9.35,0.71,Interconnection studies in this area have identified inadequate deliverability.,2185577,Merryman,12,Venida,2266,167345.102693924
66/12 kV,San Bernardino 220/66 System,0.558,0,0.558,5.45,11.19,9.39,0.21,Interconnection studies in this area have identified adequate deliverability.,2185578,Mesa Grande,12,Yucaipa,2267,49009.4298810251
66/12 kV,Mira Loma 220/66 System,0.766,0,0.766,9.72,38.76,6.23,0,Interconnection studies in this area have identified adequate deliverability.,2177158,Mescal,12,Milliken,2268,66464.9540960663
66/16 kV,La Fresa 220/66 System,0.639,0,0.639,7.45,0,13.2,1.12,Interconnection studies in this area have identified adequate deliverability.,2180679,Miralesta,16,Rolling Hills,2269,28616.8398231225
16/4.16 kV,Goleta 220/66 System,0.052,0,0.052,0.71,10.4,2.23,0.03,Interconnection studies in this area have identified adequate deliverability.,2177317,Miramar,4,Montecito,2270,14836.8367811409
16/4.16 kV,Laguna Bell De 220/66 System,0.031,0,0.031,1.54,2.47,2.26,0.19,Interconnection studies in this area have identified adequate deliverability.,2186228,Miramonte,4,Huntington Park,2271,10456.0356168245
66/4.16 kV,La Cienega 220/66 System,0.273,0,0.273,2.17,13.46,2.01,0.03,Interconnection studies in this area have identified adequate deliverability.,2180027,Mesmer,4,Culver,2272,21836.2339301781
115/12 kV,Victor 220/115 System,2.491,0.053,2.545,10,36.27,6.37,0,Interconnection studies in this area have identified adequate deliverability.,2180610,Mesquite,12,Hesperia,2273,61516.7963271805
115/12 kV,Victor 220/115 System,0.617,0.018,0.634,8.48,7.88,9.33,0.6,Interconnection studies in this area have identified adequate deliverability.,2180680,Mirror,12,Savage,2274,54375.1532671009
66/12 kV,Barre 220/66 System,0.318,0.006,0.323,6.65,5.4,9.64,0.64,Interconnection studies in this area have identified adequate deliverability.,2172774,Matlock,12,Fullerton,2275,36949.9915888528
16/4.16 kV,Laguna Bell De 220/66 System,0.082,0,0.082,1.89,4.94,2.21,0.19,Interconnection studies in this area have identified adequate deliverability.,2186299,Missouri,4,South Gate,2276,18691.9595188711
66/4.16 kV,Rio Hondo 220/66 System,0.035,0.039,0.074,2.3,3.39,2.22,0.27,Interconnection studies in this area have identified adequate deliverability.,2177309,Mervin,4,Amador,2277,24062.52739424
66/12 kV,Ellis 'C' 220/66 System,0.077,0.019,0.096,8.3,1.15,9.9,1.15,Interconnection studies in this area have identified adequate deliverability.,2180611,Meteor,12,Gisler,2278,23107.2246775741
66/12 kV,Windhub 220/66 System,0.148,0.033,0.181,4.98,725.34,0,0,Interconnection studies in this area have identified adequate deliverability.,2172599,Mettler,12,Cummings,2279,93982.6655312105
66/12 kV,Rector 220/66 System,1.806,0.023,1.83,7.19,75.44,4.57,0,Interconnection studies in this area have identified inadequate deliverability.,2186300,Mississippi,12,Riverway,2280,169450.840657801
66/16 kV,Goleta 220/66 System,3.178,1.99,5.168,6.6,181.55,1.22,0,Interconnection studies in this area have identified adequate deliverability.,2172776,Mist,16,Capitan,2281,219445.244593162
115/12 kV,Mirage 220/115 System,1.928,0.963,2.89,10,30.13,6.99,0,Interconnection studies in this area have identified inadequate deliverability.,2186301,Mistletoe,12,Tamarisk,2282,79756.6298131505
66/12 kV,Hinson 220/66 System,0,0,0,3.91,13.51,9.47,0.06,Interconnection studies in this area have identified adequate deliverability.,2172777,Mitchell,12,Seabright,2283,23997.7408375845
66/12 kV,Villa Park 220/66 System,0.284,0.018,0.302,8.55,3.7,9.68,0.97,Interconnection studies in this area have identified adequate deliverability.,2177400,Monsoon,12,Yorba Linda,2284,45183.200631807
66/12 kV,Lighthipe 220/66 System,5.675,0,5.675,5.5,0.9,9.95,0.78,Interconnection studies in this area have identified adequate deliverability.,2180684,Montana,12,Signal Hill,2285,37218.3401156511
33/33 kV,Kramer 220/115 System,2.853,5.78,8.633,3.33,243.82,18.89,0,Interconnection studies in this area have identified inadequate deliverability.,2177401,Montara,33,Barstow,2286,46827.5977088574
66/12 kV,Padua 220/66 System,0.95,0,0.95,3.87,5.32,9.79,0.37,Interconnection studies in this area have identified adequate deliverability.,2180685,Montclair,12,San Antonio,2287,18684.8840358942
115/12 kV,Valley 'Ab' 500/115 System,6.497,3.771,10.268,8.37,53.34,5.54,0,Deliverability in this area has not been determined by previous interconnection studies.,2177950,Napa,12,Valley,2288,93522.2834596305
115/12 kV,El Casco 220/115 System,0.212,0.004,0.217,8.12,22.94,8.14,0,Deliverability in this area has not been determined by previous interconnection studies.,2181737,Napoleon,12,Maraschino,2289,100387.609765986
66/4.16 kV,La Fresa 220/66 System,0.152,0.009,0.161,0.9,17.96,2.14,0,Interconnection studies in this area have identified adequate deliverability.,2181738,Narbonne,4,Walteria,2290,18587.1849548548
12/4.16 kV,Hinson 220/66 System,0.012,0,0.012,0.48,2.42,2.29,0.06,Interconnection studies in this area have identified adequate deliverability.,2173096,Nardo,4,Daisy,2291,6304.95526582517
66/4.16 kV,Mesa 220/66 System,0.136,0,0.136,2.07,6.61,2.16,0.17,Interconnection studies in this area have identified adequate deliverability.,2177402,Oxley,4,Garfield,2292,16750.1813913156
66/16 kV,Moorpark 220/66 System,1.324,0.008,1.332,11.68,12.51,11.74,0.29,Interconnection studies in this area have identified adequate deliverability.,2180686,Montgomery,16,Royal,2293,28422.6357028718
33/12 kV,Vista 220/115 System,0.1,0,0.1,2.89,3.64,9.89,0.33,Interconnection studies in this area have identified adequate deliverability.,2186379,Montreal,12,Canadian P.T.,2294,65540.7018926453
16/4.16 kV,Gould 220/66 System,0.012,0,0.012,0,-665.63,2.29,0,Interconnection studies in this area have identified adequate deliverability.,2177674,Montrose,4,La Canada,2295,1100.96988713829
66/12 kV,San Bernardino 220/66 System,0.007,0,0.007,4.59,0.16,9.99,0.68,Interconnection studies in this area have identified adequate deliverability.,2180687,Monty,12,Cardiff,2296,17895.3278077715
33/12 kV,Devers 220/115 System,0.292,0,0.292,3.67,8.1,9.7,0.25,Deliverability in this area has not been determined by previous interconnection studies.,2177675,Monument,12,Joshua Tree,2297,40911.2430037084
