SAP Substation Name,LCR Area,City served,Division,Owner
ESSEX JUNCT SUB,Humboldt,Blue Lake,HUMBOLDT,PGE
ESTUDILLO SUB,Greater Bay Area,San Leandro,MISSION,PGE
ESTUDILLO SUB,Greater Bay Area,Oakland,MISSION,PGE
EUREKA A SUB,Humboldt,Eureka,HUMBOLDT,PGE
EUREKA E SUB,Humboldt,Pine Hills,HUMBOLDT,PGE
EUREKA E SUB,Humboldt,Eureka,HUMBOLDT,PGE
EUREKA E SUB,Humboldt,Cutten,HUMBOLDT,PGE
EUREKA E SUB,Humboldt,Bayview,HUMBOLDT,PGE
EVERGREEN SUB,Greater Bay Area,Seven Trees,SAN JOSE,PGE
EVERGREEN SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
EXCELSIOR SW STA,Greater Fresno,Mendota,YOSEMITE,PGE
EXCHEQUER PH SUB,Greater Fresno,Snelling,FRESNO,nonPGE
FAIRHAVEN SUB,Humboldt,Fairhaven,HUMBOLDT,PGE
FAIRMONT SUB,Greater Bay Area,Richmond,EAST BAY,PGE
FAIRMONT SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
FAIRMONT SUB,Greater Bay Area,Albany,EAST BAY,PGE
FAIRVIEW SUB,Greater Bay Area,Vine Hill,DIABLO,PGE
FAIRVIEW SUB,Greater Bay Area,Rodeo,DIABLO,PGE
FAIRVIEW SUB,Greater Bay Area,Port Costa,DIABLO,PGE
FAIRVIEW SUB,Greater Bay Area,Martinez,DIABLO,PGE
FAIRVIEW SUB,Greater Bay Area,Crockett,DIABLO,PGE
FAMOSO SUB,Kern,Famosa,KERN,PGE
FELLOWS SUB,Kern,Fellows,KERN,PGE
FIGARDEN SUB,Greater Fresno,Fresno,FRESNO,PGE
FIGAS CONSTRUCTION (HUMBOLDT FLAKEBOARD),Humboldt,Humboldt County,HUMBOLDT,nonPGE
FIREBAUGH SUB,Greater Fresno,Mendota,YOSEMITE,PGE
FIREBAUGH SUB,Greater Fresno,Firebaugh,YOSEMITE,PGE
FITCH MOUNTAIN SUB,North Coast/North Bay,Windsor,NORTH COAST,PGE
FITCH MOUNTAIN SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE
FIVE POINTS SW STA,Greater Fresno,Five Points,FRESNO,PGE
FLINT SUB,Sierra,Auburn,SIERRA,PGE
FLORENCE SUB,Greater Bay Area,Piedmont,EAST BAY,PGE
FLORENCE SUB,Greater Bay Area,Oakland,EAST BAY,PGE
FMC SUB,Greater Bay Area,Santa Clara,SAN JOSE,PGE
FMC SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
FORBESTOWN PH,Sierra,Forbestown,NORTH VALLEY,nonPGE
FORESTHILL SUB,Sierra,Foresthill,SIERRA,PGE
FORMICA,Sierra,Lincoln,SIERRA,nonPGE
FORT BRAGG A SUB,North Coast/North Bay,Fort Bragg,NORTH COAST,PGE
FORT ROSS SUB,North Coast/North Bay,Fort Ross,NORTH COAST,PGE
FORT SEWARD SUB,Humboldt,Fort Seward,HUMBOLDT,PGE
FRANKLIN SUB,Greater Bay Area,Rodeo,EAST BAY,PGE
FRANKLIN SUB,Greater Bay Area,Pinole,EAST BAY,PGE
FRANKLIN SUB,Greater Bay Area,Hercules,EAST BAY,PGE
FRANKLIN SUB,Greater Bay Area,Crockett,EAST BAY,PGE
FREMONT SUB,Greater Bay Area,Sunol,MISSION,PGE
FREMONT SUB,Greater Bay Area,Fremont,MISSION,PGE
FRENCH CAMP SUB,Stockton,Stockton,STOCKTON,PGE
FRENCH CAMP SUB,Stockton,Lathrop,STOCKTON,PGE
FRENCH CAMP SUB,Stockton,French Camp,STOCKTON,PGE
FRESNO WASTE WATER SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
FROGTOWN SUB,Stockton,Vallecito,STOCKTON,PGE
FROGTOWN SUB,Stockton,Murphys,STOCKTON,PGE
FROGTOWN SUB,Stockton,Mountain Ranch,STOCKTON,PGE
FROGTOWN SUB,Stockton,Copperopolis,STOCKTON,PGE
FROGTOWN SUB,Stockton,Angels City,STOCKTON,PGE
FRUITLAND SUB,Humboldt,Myers Flat,HUMBOLDT,PGE
FRUITVALE SUB,Kern,Bakersfield,KERN,PGE
FRUITVALE SUB,Kern,Rosedale,KERN,PGE
FULTON SUB,North Coast/North Bay,Windsor,NORTH COAST,PGE
FULTON SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
FULTON SUB,North Coast/North Bay,Larkfield-Wikiup,NORTH COAST,PGE
GALLO SUB,Greater Fresno,Livingston,YOSEMITE,PGE
GARBERVILLE SUB,Humboldt,Redway,HUMBOLDT,PGE
GARCIA SUB,North Coast/North Bay,Point Arena,NORTH COAST,PGE
GARDNER SUB,Kern,Kern County,KERN,PGE
GATES SUB,Greater Fresno,Huron,FRESNO,PGE
GATES SUB,Greater Fresno,Coalinga,FRESNO,PGE
GATES SUB,Greater Fresno,Avenal,FRESNO,PGE
GATES WELLHEAD SUB,Greater Fresno,Fresno County,FRESNO,PGE
GEARY SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
GEARY SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
GEYSERVILLE SUB,North Coast/North Bay,Geyserville,NORTH COAST,PGE
GIFFEN SUB,Greater Fresno,Cantua Creek,FRESNO,PGE
GILL RANCH SUB,Greater Fresno,Madera County,FRESNO,nonPGE
GILL SUB,Greater Bay Area,Concord,DIABLO,PGE
GLASS SUB,Greater Fresno,Madera,YOSEMITE,nonPGE
GLENWOOD SUB,Greater Bay Area,North Fair Oaks,PENINSULA,PGE
GLENWOOD SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
GLENWOOD SUB,Greater Bay Area,Atherton,PENINSULA,PGE
GOLD HILL SUB,Sierra,Folsom,SIERRA,PGE
GOLDEN STATE METALS (EISEN) SUB,Kern,Kern County,KERN,nonPGE
GRAND ISLAND SUB,Sierra,Rio Vista,SACRAMENTO,PGE
GRAND ISLAND SUB,Sierra,Isleton,SACRAMENTO,PGE
GRANITE CONSTRUCTION SUB,North Coast/North Bay,Lake County,NORTH COAST,nonPGE
GRANT SUB,Greater Bay Area,San Leandro,MISSION,PGE
GRANT SUB,Greater Bay Area,Hayward,MISSION,PGE
GRANT SUB,Greater Bay Area,Cherryland,MISSION,PGE
GRANT SUB,Greater Bay Area,Ashland,MISSION,PGE
GRASS VALLEY SUB,Sierra,Grass Valley,SIERRA,PGE
GREENBRAE SUB,North Coast/North Bay,Tiburon,NORTH BAY,PGE
GREENBRAE SUB,North Coast/North Bay,Larkspur,NORTH BAY,PGE
GREENBRAE SUB,North Coast/North Bay,Kentfield,NORTH BAY,PGE
GREENBRAE SUB,North Coast/North Bay,Corte Madera,NORTH BAY,PGE
GREGG SUB,Greater Fresno,Madera,YOSEMITE,PGE
GRIMMWAY-MALAGA SUB,Kern,Kern County,KERN,nonPGE
GRIZZLY SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE
GRONEMEYER SUB,Stockton,Lathrop,STOCKTON,nonPGE
GUALALA SUB,North Coast/North Bay,Gualala,NORTH COAST,PGE
GUARDIAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE
GUERNSEY SUB,Greater Fresno,Hanford,FRESNO,PGE
GUSTINE SUB,Stockton,Gustine,YOSEMITE,PGE
GWF HANFORD SUB,Greater Fresno,Kings County,FRESNO,nonPGE
GWF HANFORD SW STA SUB,Greater Fresno,Kings County,FRESNO,nonPGE
HAAS PH SUB,Greater Fresno,Fresno County,FRESNO,PGE
HALF MOON BAY SUB,Greater Bay Area,Moss Beach,PENINSULA,PGE
HALF MOON BAY SUB,Greater Bay Area,Montara,PENINSULA,PGE
HALF MOON BAY SUB,Greater Bay Area,Half Moon Bay,PENINSULA,PGE
HALF MOON BAY SUB,Greater Bay Area,El Granada,PENINSULA,PGE
HALSEY PH SUB,Sierra,North Auburn,SIERRA,PGE
HALSEY PH SUB,Sierra,Meadow Vista,SIERRA,PGE
HALSEY PH SUB,Sierra,Auburn,SIERRA,PGE
HAMILTON FIELD SUB,North Coast/North Bay,Novato,NORTH BAY,PGE
HAMMONDS SUB,Greater Fresno,Fresno,YOSEMITE,PGE
HANFORD SWITCHING STATION SUB,Greater Fresno,Kings County,FRESNO,PGE
HARDING SUB,Stockton,Stockton,STOCKTON,PGE
HARDWICK SUB,Greater Fresno,Laton,FRESNO,PGE
HARDWICK SUB,Greater Fresno,Hanford,FRESNO,PGE
HARRIS SUB,Humboldt,Pine Hills,HUMBOLDT,PGE
HARRIS SUB,Humboldt,Myrtletown,HUMBOLDT,PGE
HARRIS SUB,Humboldt,Eureka,HUMBOLDT,PGE
HARRIS SUB,Humboldt,Cutten,HUMBOLDT,PGE
HARTER SUB,Sierra,Yuba City,SIERRA,PGE
HARTER SUB,Sierra,Tierra Buena,SIERRA,PGE
HARTER SUB,Sierra,Sutter,SIERRA,PGE
HARTER SUB,Sierra,South Yuba City,SIERRA,PGE
HARTLEY SUB,North Coast/North Bay,North Lakeport,NORTH COAST,PGE
HARTLEY SUB,North Coast/North Bay,Lakeport,NORTH COAST,PGE
HAYWARD O SUB,Greater Bay Area,Hayward,MISSION,PGE
HAYWARD O SUB,Greater Bay Area,Cherryland,MISSION,PGE
HAYWARD O SUB,Greater Bay Area,Ashland,MISSION,PGE
HEINZ SUB,Stockton,Tracy,STOCKTON,nonPGE
HELM SUB,Greater Fresno,San Joaquin,FRESNO,PGE
HELM SUB,Greater Fresno,San Joaquin,FRESNO,PGE
HELMS PGP SUB,Greater Fresno,Fresno County,FRESNO,PGE
HENRIETTA SUB,Greater Fresno,Lemoore Station,FRESNO,PGE
HERNDON SUB,Greater Fresno,Herndon,FRESNO,PGE
HERNDON SUB,Greater Fresno,Herndon,FRESNO,PGE
HICKS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
HICKS SUB,Greater Bay Area,Los Gatos,SAN JOSE,PGE
HICKS SUB,Greater Bay Area,Cambrian Park,SAN JOSE,PGE
HIGGINS SUB,Sierra,Lake of the Pines,SIERRA,PGE
HIGGINS SUB,Sierra,Alta Sierra,SIERRA,PGE
HIGH ST SUB,Greater Bay Area,Oakland,EAST BAY,PGE
HIGHLANDS SUB,North Coast/North Bay,Lower Lake,NORTH COAST,PGE
HIGHLANDS SUB,North Coast/North Bay,Hidden Valley Lake,NORTH COAST,PGE
HIGHLANDS SUB,North Coast/North Bay,Clearlake,NORTH COAST,PGE
HIGHWAY 70 INDUSTRIAL PARK (LOUISIANA PACIFIC),Sierra,Oroville,NORTH VALLEY,nonPGE
HIGHWAY SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
HIGHWAY SUB,North Coast/North Bay,American Canyon,NORTH BAY,PGE
HILLSDALE SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
HILLSDALE SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
HILLSDALE SUB,Greater Bay Area,Belmont,PENINSULA,PGE
HJ HEINZ,Stockton,Tracy,STOCKTON,nonPGE
HOLLYWOOD SUB,Greater Bay Area,Piedmont,EAST BAY,PGE
HOLLYWOOD SUB,Greater Bay Area,Oakland,EAST BAY,PGE
HONCUT SUB,Sierra,Loma Rica,NORTH VALLEY,PGE
HONCUT SUB,Sierra,Gridley,NORTH VALLEY,PGE
HOOPA SUB,Humboldt,Hoopa,HUMBOLDT,PGE
HOPLAND SUB,North Coast/North Bay,Hopland,NORTH BAY,PGE
HORSESHOE SUB,Sierra,Roseville,SIERRA,PGE
HORSESHOE SUB,Sierra,Loomis,SIERRA,PGE
HORSESHOE SUB,Sierra,Granite Bay,SIERRA,PGE
HORSESHOE SUB,Sierra,Folsom,SIERRA,PGE
HOWLAND ROAD SUB,Stockton,Manteca,STOCKTON,PGE
HUMBOLDT BAY GEN STA SUB,Humboldt,Eureka,HUMBOLDT,PGE
HUMBOLDT BAY GEN STA SUB,Humboldt,Pine Hills,HUMBOLDT,PGE
HUMBOLDT BAY GEN STA SUB,Humboldt,Humboldt Hill,HUMBOLDT,PGE
HUMBOLDT BAY GEN STA SUB,Humboldt,Eureka,HUMBOLDT,PGE
HUMBOLDT BAY GEN STA SUB,Humboldt,Bayview,HUMBOLDT,PGE
HUMBOLDT SUB,Humboldt,Eureka,HUMBOLDT,PGE
HURON SUB,Greater Fresno,Huron,FRESNO,PGE
IGNACIO SUB,North Coast/North Bay,Novato,NORTH BAY,PGE
IGNACIO SUB,North Coast/North Bay,Lucas Valley-Marinwood,NORTH BAY,PGE
IGNACIO SUB,North Coast/North Bay,Black Point-Green Point,NORTH BAY,PGE
IMHOFF SUB,Greater Bay Area,Martinez,DIABLO,PGE
INDIAN FLAT SUB,Greater Fresno,Incline,YOSEMITE,PGE
INDUSTRIAL SUB,Stockton,Lodi,STOCKTON,PGE
INGRAM CREEK SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE
IUKA SUB,Greater Bay Area,Pleasanton,MISSION,PGE
J.R. WOOD SUB,Greater Fresno,Merced County,FRESNO,nonPGE
JACALITO SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
JACOBS CORNER SUB,Greater Fresno,Stratford,FRESNO,PGE
JACOBS CORNER SUB,Greater Fresno,Lemoore Station,FRESNO,PGE
JACOBS CORNER SUB,Greater Fresno,Lemoore,FRESNO,PGE
JANES CREEK SUB,Humboldt,McKinleyville,HUMBOLDT,PGE
JANES CREEK SUB,Humboldt,Arcata,HUMBOLDT,PGE
JARVIS SUB,Greater Bay Area,Union City,MISSION,PGE
JARVIS SUB,Greater Bay Area,Hayward,MISSION,PGE
JARVIS SUB,Greater Bay Area,Fremont,MISSION,PGE
JEFFERSON SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
JIM MANUFACTORING SUB,Stockton,Kennedy,STOCKTON,nonPGE
JR WOOD SUB,Greater Fresno,Atwater,YOSEMITE,nonPGE
JUDAH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
KAMM (TEXACO) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
KANAKA SUB,Sierra,Feather Falls,NORTH VALLEY,nonPGE
KANSAS SOLAR SUB,Greater Fresno,Lemoore,FRESNO,nonPGE
KANSAS SOUTH SUB,Greater Fresno,Lemoore,FRESNO,nonPGE
KASSON SUB,Stockton,Tracy,STOCKTON,PGE
KASSON SUB,Stockton,Tracy,STOCKTON,PGE
KEARNEY (NEW) SUB,Greater Fresno,Fresno County,FRESNO,PGE
KEARNEY (NEW) SUB,Greater Fresno,Fresno,FRESNO,PGE
KEARNEY (NEW) SUB,Greater Fresno,Easton,FRESNO,PGE
KEARNY (OLD) SUB,Greater Fresno,Fresno County,FRESNO,PGE
KEKAWAKA,Humboldt,,,
KELSO SUB,Greater Bay Area,Tracy,STOCKTON,PGE
KERCKHOFF #1 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE
KERCKHOFF #2 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE
KERMAN SUB,Greater Fresno,Kerman,FRESNO,PGE
KERN CANYON PH,Kern,Kern County,KERN,PGE
KERN FRONT SUB,Kern,Kern County,KERN,nonPGE
KERN OIL SUB,Kern,Bakersfield,KERN,PGE
KERN OIL SUB,Kern,Oildale,KERN,PGE
KERN PP SUB,Kern,Bakersfield,KERN,PGE
KERNWATER SUB,Kern,Kern County,KERN,PGE
KETTLEMAN HILLS SUB,Greater Fresno,Avenal,FRESNO,PGE
KINGS RIVER PH SUB,Greater Fresno,Fresno County,FRESNO,PGE
KINGSBURG SUB,Greater Fresno,Traver,FRESNO,PGE
KINGSBURG SUB,Greater Fresno,Selma,FRESNO,PGE
KINGSBURG SUB,Greater Fresno,London,FRESNO,PGE
KINGSBURG SUB,Greater Fresno,Kingsburg,FRESNO,PGE
KIRKER SUB,Greater Bay Area,Pittsburg,DIABLO,PGE
KIRKER SUB,Greater Bay Area,Bay Point,DIABLO,PGE
KIRKER SUB,Greater Bay Area,Antioch,DIABLO,PGE
KNIGHTS LANDING SUB,Sierra,Knights Landing,SACRAMENTO,PGE
KONOCTI SUB,North Coast/North Bay,Lower Lake,HUMBOLDT,PGE
KONOCTI SUB,North Coast/North Bay,Kelseyville,HUMBOLDT,PGE
KONOCTI SUB,North Coast/North Bay,Cobb,HUMBOLDT,PGE
LAGUNA SECA SUB,North Coast/North Bay,Salinas,NORTH COAST,PGE
LAKEVILLE SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE
LAKEWOOD SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
LAKEWOOD SUB,Greater Bay Area,Waldon,DIABLO,PGE
LAKEWOOD SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
LAKEWOOD SUB,Greater Bay Area,Lafayette,DIABLO,PGE
LAKEWOOD SUB,Greater Bay Area,Alamo,DIABLO,PGE
LAMBIE SW STA SUB,Greater Bay Area,Rio Vista,SACRAMENTO,PGE
LAMMERS SUB,Stockton,Tracy,STOCKTON,PGE
LAMONT SUB,Kern,Bakersfield,KERN,PGE
LAMONT SUB,Kern,Lamont,KERN,PGE
LAMONT SUB,Kern,Weedpatch,KERN,PGE
LAS AROMAS SUB,Greater Bay Area,Orinda,DIABLO,PGE
LAS GALLINAS A SUB,North Coast/North Bay,Santa Venetia,NORTH BAY,PGE
LAS GALLINAS A SUB,North Coast/North Bay,San Rafael,NORTH BAY,PGE
LAS GALLINAS A SUB,North Coast/North Bay,Lucas Valley-Marinwood,NORTH BAY,PGE
LAS PALMAS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
LAS POSITAS SUB,Greater Bay Area,Pleasanton,MISSION,PGE
LAS POSITAS SUB,Greater Bay Area,Livermore,MISSION,PGE
LAS PULGAS SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
LAS PULGAS SUB,Greater Bay Area,Atherton,PENINSULA,PGE
LAWNDALE SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE
LAWRENCE SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
LAWRENCE SUB,Greater Bay Area,Santa Clara,DE ANZA,PGE
LAWRENCE SUB,Greater Bay Area,San Jose,DE ANZA,PGE
LAYTONVILLE SUB,North Coast/North Bay,Laytonville,NORTH COAST,PGE
LE GRAND SUB,Greater Fresno,Le Grand,YOSEMITE,PGE
LEARNER SUB,Stockton,Stockton,STOCKTON,
LEMOORE NAS SUB,Greater Fresno,Kings County,FRESNO,PGE
LEMOORE SUB,Greater Fresno,Lemoore,FRESNO,PGE
LEPRINO FOODS LEEMORE SUB,Greater Fresno,Kings County,FRESNO,nonPGE
LEPRINO FOODS TRACY SUB,Stockton,Tracy,STOCKTON,nonPGE
LEPRINO SUB,Greater Fresno,Kings County,FRESNO,nonPGE
LERDO SUB,Kern,Shafter,KERN,PGE
LIMESTONE SUB,Sierra,Shingle Springs,SIERRA,PGE
LINCOLN SUB,Sierra,Lincoln,SIERRA,PGE
LINDEN SUB,Stockton,Linden,STOCKTON,PGE
LIVE OAK SUB,Sierra,Live Oak,SIERRA,PGE
LIVERMORE SUB,Greater Bay Area,Livermore,MISSION,PGE
LIVINGSTON SUB,Greater Fresno,Winton,YOSEMITE,PGE
LIVINGSTON SUB,Greater Fresno,Livingston,YOSEMITE,PGE
LLAGAS SUB,Greater Bay Area,San Martin,SAN JOSE,PGE
LLAGAS SUB,Greater Bay Area,Gilroy,SAN JOSE,PGE
LOCKEFORD SUB,Stockton,Lodi,STOCKTON,PGE
LOCKEFORD SUB,Stockton,Lockeford,STOCKTON,PGE
LOCKHEED #2 SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
LOCKHEED #2 SUB,Greater Bay Area,San Jose,DE ANZA,PGE
LODI STIG,Sierra,Lodi,STOCKTON,nonPGE
LODI SUB,Stockton,South Woodbridge,STOCKTON,nonPGE
LODI SUB,Stockton,North Woodbridge,STOCKTON,nonPGE
LODI SUB,Stockton,Lodi,STOCKTON,nonPGE
LONE STAR SUB,Greater Bay Area,Santa Cruz County,CENTRAL COAST,nonPGE
LONETREE SUB,Greater Bay Area,Oakley,DIABLO,PGE
LONETREE SUB,Greater Bay Area,Brentwood,DIABLO,PGE
LONETREE SUB,Greater Bay Area,Antioch,DIABLO,PGE
LOS ALTOS SUB,Greater Bay Area,Palo Alto,DE ANZA,PGE
LOS ALTOS SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
LOS ALTOS SUB,Greater Bay Area,Los Altos Hills,DE ANZA,PGE
LOS ALTOS SUB,Greater Bay Area,Los Altos,DE ANZA,PGE
LOS BANOS SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
LOS ESTEROS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
LOS GATOS SUB,Greater Bay Area,Monte Sereno,DE ANZA,PGE
LOS GATOS SUB,Greater Bay Area,Los Gatos,DE ANZA,PGE
LOS GATOS SUB,Greater Bay Area,Lexington Hills,DE ANZA,PGE
LOUISE SUB,Stockton,Manteca,STOCKTON,nonPGE
LOUISIANA PACIFIC ARCATA,Humboldt,Arcata,HUMBOLDT,nonPGE
LOWER LAKE SUB,North Coast/North Bay,Lower Lake,NORTH COAST,PGE
LOYOLA SUB,Greater Bay Area,Palo Alto,DE ANZA,PGE
LOYOLA SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
LOYOLA SUB,Greater Bay Area,Loyola,DE ANZA,PGE
LOYOLA SUB,Greater Bay Area,Los Altos Hills,DE ANZA,PGE
LOYOLA SUB,Greater Bay Area,Los Altos,DE ANZA,PGE
LUCERNE SUB,North Coast/North Bay,Upper Lake,NORTH COAST,PGE
LUCERNE SUB,North Coast/North Bay,North Lakeport,NORTH COAST,PGE
LUCERNE SUB,North Coast/North Bay,Nice,NORTH COAST,PGE
LUCERNE SUB,North Coast/North Bay,Lucerne,NORTH COAST,PGE
MABURY SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MADERA JCT SUB,Greater Fresno,Madera,FRESNO,nonPGE
MADERA POWER SUB,Greater Fresno,Madera,FRESNO,nonPGE
MADERA SUB,Greater Fresno,Parkwood,YOSEMITE,nonPGE
MADERA SUB,Greater Fresno,Madera,YOSEMITE,nonPGE
MAGUNDEN SUB,Kern,Bakersfield,KERN,PGE
MALAGA POWER LLC (KRCD PEAKER),Greater Fresno,Fresno County,FRESNO,nonPGE
MALAGA SUB,Greater Fresno,Fresno,FRESNO,PGE
MALAGA SUB,Greater Fresno,Fowler,FRESNO,PGE
MALAGA SUB,Greater Fresno,Easton,FRESNO,PGE
MALAGA SUB,Greater Fresno,Calwa,FRESNO,PGE
MANCHESTER SUB,Greater Fresno,Fresno,FRESNO,PGE
MANTECA SUB,Stockton,Manteca,STOCKTON,PGE
MAPLE CREEK SUB,Humboldt,Blue Lake,HUMBOLDT,PGE
MAPLE SUB,Greater Bay Area,Oakland,EAST BAY,PGE
MARIPOSA SUB,Greater Fresno,Mariposa,YOSEMITE,PGE
MARIPOSA SUB,Greater Fresno,Bootjack,YOSEMITE,PGE
MARKHAM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MARSH SUB,Greater Bay Area,Brentwood,DIABLO,PGE
MARTINEZ PP SUB,Greater Bay Area,Martinez,DIABLO,PGE
MARYSVILLE SUB,Sierra,Yuba City,SIERRA,PGE
MARYSVILLE SUB,Sierra,Marysville,SIERRA,PGE
MARYSVILLE SUB,Sierra,Linda,SIERRA,PGE
MC FARLAND SUB,Kern,McFarland,KERN,PGE
MC MULLIN SUB,Greater Fresno,Raisin City,FRESNO,PGE
MC MULLIN SUB,Greater Fresno,Easton,FRESNO,PGE
MCAVOY TAP SUB,Greater Bay Area,Bay Point,DIABLO,nonPGE
MCCALL SUB,Greater Fresno,Selma,FRESNO,PGE
MCCALL SUB,Greater Fresno,Parlier,FRESNO,PGE
MCCALL SUB,Greater Fresno,Fowler,FRESNO,PGE
MCCALL SUB,Greater Fresno,Del Rey,FRESNO,PGE
MCKEE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MCKEE SUB,Greater Bay Area,East Foothills,SAN JOSE,PGE
MCKEE SUB,Greater Bay Area,Alum Rock,SAN JOSE,PGE
MCMULLIN SUB,Greater Fresno,Fresno,FRESNO,PGE
MEADOW LANE SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
MEADOW LANE SUB,Greater Bay Area,Waldon,DIABLO,PGE
MEADOW LANE SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
MEADOW LANE SUB,Greater Bay Area,Martinez,DIABLO,PGE
MEADOW LANE SUB,Greater Bay Area,Concord,DIABLO,PGE
MELONES SUB,Stockton,Sonora,STOCKTON,PGE
MENDOCINO SUB,North Coast/North Bay,Redwood Valley,NORTH COAST,PGE
MENDOTA BIOMASS SUB,Greater Fresno,Mendota,FRESNO,nonPGE
MENDOTA SUB,Greater Fresno,Mendota,YOSEMITE,PGE
MENLO SUB,Greater Bay Area,West Menlo Park,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Stanford,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Portola Valley,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Los Altos Hills,PENINSULA,PGE
MENLO SUB,Greater Bay Area,Atherton,PENINSULA,PGE
MERCED FALLS PH SUB,Greater Fresno,Snelling,YOSEMITE,PGE
MERCED SUB,Greater Fresno,Merced,YOSEMITE,PGE
MERCY SPRINGS (SLWD) SUB,Greater Fresno,Merced County,FRESNO,PGE
METCALF SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
METTLER SUB,Stockton,Stockton,STOCKTON,PGE
METTLER SUB,Stockton,Morada,STOCKTON,PGE
METTLER SUB,Stockton,Lodi,STOCKTON,PGE
MIDDLETOWN SUB,North Coast/North Bay,Middletown,NORTH COAST,PGE
MIDDLETOWN SUB,North Coast/North Bay,Hidden Valley Lake,NORTH COAST,PGE
MIDDLETOWN SUB,North Coast/North Bay,Cobb,NORTH COAST,PGE
MILLBRAE SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
MILLBRAE SUB,Greater Bay Area,Millbrae,PENINSULA,PGE
MILLBRAE SUB,Greater Bay Area,Burlingame,PENINSULA,PGE
MILLER SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE
MILPITAS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MILPITAS SUB,Greater Bay Area,Milpitas,SAN JOSE,PGE
MIRA VISTA SUB,Greater Bay Area,Richmond,EAST BAY,PGE
MIRA VISTA SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
MIRA VISTA SUB,Greater Bay Area,East Richmond Heights,EAST BAY,PGE
MIRABEL SUB,North Coast/North Bay,Guerneville,NORTH COAST,PGE
MIRABEL SUB,North Coast/North Bay,Graton,NORTH COAST,PGE
MIRABEL SUB,North Coast/North Bay,Forestville,NORTH COAST,PGE
MI-WUK SUB,Stockton,Twain Harte,YOSEMITE,PGE
MI-WUK SUB,Stockton,Soulsbyville,YOSEMITE,PGE
MI-WUK SUB,Stockton,Phoenix Lake-Cedar Ridge,YOSEMITE,PGE
MI-WUK SUB,Stockton,Mono Vista,YOSEMITE,PGE
MI-WUK SUB,Stockton,Mi-Wuk Village,YOSEMITE,PGE
MODESTO ENERGY SUB,Stockton,Modesto,STOCKTON,nonPGE
MOLINO SUB,North Coast/North Bay,Sebastopol,NORTH COAST,PGE
MOLINO SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
MOLINO SUB,North Coast/North Bay,Occidental,NORTH COAST,PGE
MOLINO SUB,North Coast/North Bay,Graton,NORTH COAST,PGE
MONARCH SUB,Stockton,Stockton,STOCKTON,PGE
